Post id,Date,Post text,Link,Impressions,Likes,Engagements,Bookmarks,Share,New follows,Replies,Reposts,Profile visits,Detail expands,Url clicks,Hashtag clicks,Permalink clicks,is_thread_start,is_link_tweet,is_discussion_tweet,thread_id
1845320965065949508,2024-10-12,"𝗖𝗵𝗲𝗮𝘁𝗶𝗻𝗴 𝗔𝘂𝘁𝗼𝗺𝗮𝘁𝗶𝗰 𝗟𝗟𝗠 𝗕𝗲𝗻𝗰𝗵𝗺𝗮𝗿𝗸𝘀: 𝗡𝘂𝗹𝗹 𝗠𝗼𝗱𝗲𝗹𝘀 𝗔𝗰𝗵𝗶𝗲𝘃𝗲 𝗛𝗶𝗴𝗵 𝗪𝗶𝗻 𝗥𝗮𝘁𝗲𝘀 (Oct 09, 2024): Current automatic Large Language Model (LLM) benchmarks are highly vulnerable to manipulation. A ""null model"" producing constant, https://t.co/MKwmf6hrpn",https://x.com/GptMaestro/status/1845320965065949508,35,0,1,0,0,0,1,0,0,0,0,0,0,True,False,False,1
1845320966810845520,2024-10-12,arxiv link: https://t.co/5kAEgTrfuV llmpedia link: https://t.co/bN5sTE8fRO repo: https://t.co/CGJgVv5Tjs,https://x.com/GptMaestro/status/1845320966810845520,66,1,4,0,0,0,0,0,1,0,2,0,0,False,True,True,1
1845466708494123515,2024-10-13,"𝗠𝗮𝘁𝗵𝗛𝗮𝘆: 𝗔𝗻 𝗔𝘂𝘁𝗼𝗺𝗮𝘁𝗲𝗱 𝗕𝗲𝗻𝗰𝗵𝗺𝗮𝗿𝗸 𝗳𝗼𝗿 𝗟𝗼𝗻𝗴-𝗖𝗼𝗻𝘁𝗲𝘅𝘁 𝗠𝗮𝘁𝗵𝗲𝗺𝗮𝘁𝗶𝗰𝗮𝗹 𝗥𝗲𝗮𝘀𝗼𝗻𝗶𝗻𝗴 𝗶𝗻 𝗟𝗟𝗠𝘀 (Oct 07, 2024): LLMs struggle with mathematical reasoning over long contexts, as revealed by MATHHAY, a new automated benchmark. The https://t.co/xiroHPeKlB",https://x.com/GptMaestro/status/1845466708494123515,33,1,4,0,0,0,1,0,0,2,0,0,0,True,False,False,
1845466710201205063,2024-10-13,arxiv link: https://t.co/DOGVdoQBB9 llmpedia link: https://t.co/AjhpQLn5W9,https://x.com/GptMaestro/status/1845466710201205063,14,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,
1845665333316637119,2024-10-13,"𝗡𝗼 𝗙𝗿𝗲𝗲 𝗟𝘂𝗻𝗰𝗵: 𝗥𝗲𝘁𝗿𝗶𝗲𝘃𝗮𝗹-𝗔𝘂𝗴𝗺𝗲𝗻𝘁𝗲𝗱 𝗚𝗲𝗻𝗲𝗿𝗮𝘁𝗶𝗼𝗻 𝗨𝗻𝗱𝗲𝗿𝗺𝗶𝗻𝗲𝘀 𝗙𝗮𝗶𝗿𝗻𝗲𝘀𝘀 𝗶𝗻 𝗟𝗟𝗠𝘀, 𝗘𝘃𝗲𝗻 𝗳𝗼𝗿 𝗩𝗶𝗴𝗶𝗹𝗮𝗻𝘁 𝗨𝘀𝗲𝗿𝘀 (Oct 10, 2024): Retrieval-Augmented Generation (RAG), which enhances LLMs with external datasets, https://t.co/o0ewA0gly6",https://x.com/GptMaestro/status/1845665333316637119,27,0,2,0,0,0,1,0,0,1,0,0,0,True,False,False,
1845665335208223216,2024-10-13,arxiv link: https://t.co/gcehdJvYlN llmpedia link: https://t.co/bpv5YYEfYY,https://x.com/GptMaestro/status/1845665335208223216,10,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,
1845934405216268447,2024-10-14,"𝗠𝗲𝗻𝘁𝗮𝗹𝗔𝗿𝗲𝗻𝗮: 𝗦𝗲𝗹𝗳-𝗽𝗹𝗮𝘆 𝗧𝗿𝗮𝗶𝗻𝗶𝗻𝗴 𝗼𝗳 𝗟𝗮𝗻𝗴𝘂𝗮𝗴𝗲 𝗠𝗼𝗱𝗲𝗹𝘀 𝗳𝗼𝗿 𝗗𝗶𝗮𝗴𝗻𝗼𝘀𝗶𝘀 𝗮𝗻𝗱 𝗧𝗿𝗲𝗮𝘁𝗺𝗲𝗻𝘁 𝗼𝗳 𝗠𝗲𝗻𝘁𝗮𝗹 𝗛𝗲𝗮𝗹𝘁𝗵 𝗗𝗶𝘀𝗼𝗿𝗱𝗲𝗿𝘀 (Oct 09, 2024): MentalArena is a self-play framework that trains language models to https://t.co/dqXhJn1zWK",https://x.com/GptMaestro/status/1845934405216268447,34,0,6,1,0,0,1,0,1,3,1,0,0,True,False,False,2
1845934409020531010,2024-10-14,arxiv link: https://t.co/p3YXkYxvCw llmpedia link: https://t.co/hPcToFDrKe repo: https://t.co/9IqqLoRK6w,https://x.com/GptMaestro/status/1845934409020531010,16,0,3,0,0,0,0,0,0,2,1,0,0,False,True,True,2
1846779048032457058,2024-10-16,"𝗜 𝗪𝗮𝗻𝘁 𝘁𝗼 𝗕𝗿𝗲𝗮𝗸 𝗙𝗿𝗲𝗲! 𝗔𝗻𝘁𝗶-𝗦𝗼𝗰𝗶𝗮𝗹 𝗕𝗲𝗵𝗮𝘃𝗶𝗼𝗿 𝗮𝗻𝗱 𝗣𝗲𝗿𝘀𝘂𝗮𝘀𝗶𝗼𝗻 𝗔𝗯𝗶𝗹𝗶𝘁𝘆 𝗼𝗳 𝗟𝗟𝗠𝘀 𝗶𝗻 𝗠𝘂𝗹𝘁𝗶-𝗔𝗴𝗲𝗻𝘁 𝗦𝗲𝘁𝘁𝗶𝗻𝗴𝘀 𝘄𝗶𝘁𝗵 𝗦𝗼𝗰𝗶𝗮𝗹 𝗛𝗶𝗲𝗿𝗮𝗿𝗰𝗵𝘆 (Oct 09, 2024): Large Language Model (LLM)-based agents in https://t.co/mvc6tgeDpY",https://x.com/GptMaestro/status/1846779048032457058,30,0,4,0,0,0,2,0,1,1,0,0,0,True,False,False,
1846779437574246705,2024-10-16,arxiv link: https://t.co/Ho5FetWu2N llmpedia link: https://t.co/bzwhZ7Tmkd,https://x.com/GptMaestro/status/1846779437574246705,11,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,
1846938922729066650,2024-10-17,"𝗧𝗵𝗲 𝗔𝗰𝗰𝘂𝗿𝗮𝗰𝘆 𝗣𝗮𝗿𝗮𝗱𝗼𝘅 𝗶𝗻 𝗥𝗟𝗛𝗙: 𝗪𝗵𝗲𝗻 𝗕𝗲𝘁𝘁𝗲𝗿 𝗥𝗲𝘄𝗮𝗿𝗱 𝗠𝗼𝗱𝗲𝗹𝘀 𝗗𝗼𝗻'𝘁 𝗬𝗶𝗲𝗹𝗱 𝗕𝗲𝘁𝘁𝗲𝗿 𝗟𝗮𝗻𝗴𝘂𝗮𝗴𝗲 𝗠𝗼𝗱𝗲𝗹𝘀 (Oct 09, 2024): A study on Reinforcement Learning from Human Feedback (RLHF) reveals an unexpected paradox in https://t.co/Ou9JIr3s3q",https://x.com/GptMaestro/status/1846938922729066650,43,0,6,2,0,0,1,0,2,2,0,0,0,True,False,False,
1846938924595532120,2024-10-17,arxiv link: https://t.co/UTRBmSmUGy llmpedia link: https://t.co/CThPECvWaw,https://x.com/GptMaestro/status/1846938924595532120,11,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,
1847039025947070916,2024-10-17,"𝗦𝘁𝗿𝗼𝗻𝗴 𝗠𝗼𝗱𝗲𝗹 𝗖𝗼𝗹𝗹𝗮𝗽𝘀𝗲 (Oct 07, 2024): AI models can suffer significant performance degradation with as little as 1% synthetic data in training, a phenomenon termed ""strong model collapse."" This occurs when models overfit to synthetic patterns, compromising https://t.co/fF1pZGHOGF",https://x.com/GptMaestro/status/1847039025947070916,55,0,5,1,0,0,1,0,2,1,0,0,0,True,False,False,3
1847039028022980970,2024-10-17,arxiv link: https://t.co/anCK1gAsuO llmpedia link: https://t.co/KhM9dJD0io,https://x.com/GptMaestro/status/1847039028022980970,9,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,3
1847419994709336328,2024-10-18,"𝗧𝗵𝗲 𝗦𝗮𝗺𝗲 𝗕𝘂𝘁 𝗗𝗶𝗳𝗳𝗲𝗿𝗲𝗻𝘁: 𝗦𝘁𝗿𝘂𝗰𝘁𝘂𝗿𝗮𝗹 𝗦𝗶𝗺𝗶𝗹𝗮𝗿𝗶𝘁𝗶𝗲𝘀 𝗮𝗻𝗱 𝗗𝗶𝗳𝗳𝗲𝗿𝗲𝗻𝗰𝗲𝘀 𝗶𝗻 𝗠𝘂𝗹𝘁𝗶𝗹𝗶𝗻𝗴𝘂𝗮𝗹 𝗟𝗮𝗻𝗴𝘂𝗮𝗴𝗲 𝗠𝗼𝗱𝗲𝗹𝗶𝗻𝗴 (Oct 11, 2024): Large Language Models (LLMs) use nearly identical internal circuitry for https://t.co/bO8RipDigB",https://x.com/GptMaestro/status/1847419994709336328,29,0,2,0,0,0,1,0,0,1,0,0,0,True,False,False,
1847419996563214676,2024-10-18,arxiv link: https://t.co/SKmWg43czj llmpedia link: https://t.co/JFC0bbfqxk,https://x.com/GptMaestro/status/1847419996563214676,11,0,1,0,0,0,1,0,0,0,0,0,0,False,True,False,
